project_name	ID_EIA	type	latitude	longitude	region	state	state_fips	state_name	year	capacity_DC_kW	capacity_AC_kW	inverter_loading_ratio	mount_type	tracking_type	tilt	azimuth	average_global_horizontal_irradiance	capacity_factor_average	tech_class_primary	tech_class_secondary	storage_flag	storage_year	storage_capacity	storage_energy	storage_tech	hybrid_flag	hybrid_tech	duplicate	sub_id	interconnect_x	point_of_interconnect	interconnect_y
Dix Solar (McGuire-Dix-Lakehurst Base)	61864.0	UPV	39.976991	-74.622171	PJM	NJ	34	New Jersey	2017	16500.0	13000.0	1.2692307692307692	Fixed Tilt	['Fixed']	25.0	180.0	4.0233445205	0.1782191396945495	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	5273	Eastern	distribution-primary	Eastern
KIUC Solar City Project (Kapaia PV+storage)	60546.0	UPV	21.999661	-159.380191	HI	HI	15	Hawaii	2017	17000.0	13000.0	1.3076923076923077	Fixed Tilt	['Fixed']	15.0	180.0	5.0669130137	0.1918508713674893	PV	['c-Si']	True	2017	13.6	57.12	Lithium Ion	False	[]	False	35834	Western	distribution-primary	Western
Champion Solar (Phase 3)	61522.0	UPV	33.794981	-81.262111	Southeast (non-ISO)	SC	45	South Carolina	2017	15220.0	10880.0	1.3988970588235294	Tracking	['Single']	-1.0	180.0	4.5642771689	0.233689365572376	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	11926	Eastern	distribution-primary	Eastern
Swamp Fox Solar (Phase 2)	61521.0	UPV	33.791651	-81.256851	Southeast (non-ISO)	SC	45	South Carolina	2017	15220.0	10880.0	1.3988970588235294	Tracking	['Single']	-1.0	180.0	4.5642771689	0.2307084310771616	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	11926	Eastern	distribution-primary	Eastern
Fort Rucker Solar	60679.0	UPV	31.332071	-85.729771	Southeast (non-ISO)	AL	1	Alabama	2017	13000.0	10600.0	1.2264150943396226	Tracking	['Single']	-1.0	180.0	4.7037015982	0.1528351064923293	PV	['Thin-Film']	False	-1	-1.0	-1.0		False	[]	False	14978	Eastern	distribution-primary	Eastern
Marin Clean Energy Solar One (Richmond Solar Project)	61013.0	UPV	37.94596	-122.376201	CAISO	CA	6	California	2017	13000.0	10500.0	1.238095238095238	Tracking	['Single']	15.0	180.0	4.8901961187	0.2205229437301449	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	36131	Western	distribution-primary	Western
Estill Solar II	61529.0	UPV	32.727111	-81.252641	Southeast (non-ISO)	SC	45	South Carolina	2017	14795.3	10200.0	1.4505196078431373	Fixed Tilt	['Fixed']	20.0	180.0	4.6653315068	0.2155612853345545	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	11828	Eastern	distribution-primary	Eastern
St Matthews Solar	60293.0	UPV	33.686931	-80.760491	Southeast (non-ISO)	SC	45	South Carolina	2017	14790.0	10200.0	1.45	Tracking	['Single']	-1.0	180.0	4.6064006849	0.2349178709252662	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	11639	Eastern	distribution-primary	Eastern
Southern Current One	61748.0	UPV	32.94871	-81.216261	Southeast (non-ISO)	SC	45	South Carolina	2017	14200.0	10200.0	1.392156862745098	Tracking	['Single']	-1.0	180.0	4.6610369863	0.2046645175357697	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	11547	Eastern	distribution-primary	Eastern
Aurora Albany Solar	60519.0	UPV	45.641531	-94.60017	MISO	MN	27	Minnesota	2017	15240.0	10000.0	1.524	Tracking	['Single']	-1.0	180.0	3.7577949772	0.2104307541316299	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	26186	Eastern	distribution-primary	Eastern
Aurora Paynesville Solar	60530.0	UPV	45.392905	-94.721231	MISO	MN	27	Minnesota	2017	15240.0	10000.0	1.524	Tracking	['Single']	-1.0	180.0	3.8051465753	0.2035624027912933	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	26641	Eastern	distribution-primary	Eastern
Aurora Waseca Solar	60532.0	UPV	44.092491	-93.530981	MISO	MN	27	Minnesota	2017	15920.0	10000.0	1.592	Tracking	['Single']	-1.0	180.0	3.8389972603	0.2146933403198841	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	26793	Eastern	distribution-primary	Eastern
Facebook 1 Solar Energy Center (Los Lunas 1)	61556.0	UPV	34.833531	-106.781911	West (non-ISO)	NM	35	New Mexico	2017	12498.0	10000.0	1.2498	Tracking	['Single']	-1.0	180.0	5.6356009132	0.2907765260207433	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	38826	Western	distribution-primary	Western
OR Solar 3 (Turkey Hill)	61201.0	UPV	42.022241	-121.423221	West (non-ISO)	OR	41	Oregon	2017	13200.0	10000.0	1.3199999999999998	Tracking	['Single']	-1.0	180.0	4.7639027397	0.2747717206876762	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	35730	Western	distribution-primary	Western
OR Solar 6 (Lakeview)	61430.0	UPV	42.208988	-120.3678	West (non-ISO)	OR	41	Oregon	2017	13700.0	10000.0	1.37	Tracking	['Single']	-1.0	180.0	4.7124636986	0.2753134590912493	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	35744	Western	distribution-primary	Western
Wilson Solar Farm 6	61279.0	UPV	35.698141	-77.879291	Southeast (non-ISO)	NC	37	North Carolina	2017	12700.0	10000.0	1.27	Fixed Tilt	['Fixed']	20.0	180.0	4.4557312785	0.2114326484018264	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	11107	Eastern	distribution-primary	Eastern
Wilson Solar Farm 5	61278.0	UPV	35.698141	-77.879291	Southeast (non-ISO)	NC	37	North Carolina	2017	12100.0	10000.0	1.21	Fixed Tilt	['Fixed']	20.0	180.0	4.4557312785	0.1941609589041095	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	11107	Eastern	distribution-primary	Eastern
Wilson Solar Farm 7	61280.0	UPV	35.756321	-78.013761	Southeast (non-ISO)	NC	37	North Carolina	2017	12300.0	10000.0	1.23	Fixed Tilt	['Fixed']	20.0	180.0	4.4743406393	0.1967751141552511	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	10907	Eastern	distribution-primary	Eastern
Wilson Solar Farm 4	61277.0	UPV	35.70653	-77.93465	Southeast (non-ISO)	NC	37	North Carolina	2017	12100.0	10000.0	1.21	Fixed Tilt	['Fixed']	20.0	180.0	4.4527892694	0.1922203196347031	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	11107	Eastern	distribution-primary	Eastern
Wilson Solar Farm 3	61276.0	UPV	35.782611	-78.989811	Southeast (non-ISO)	NC	37	North Carolina	2017	11700.0	10000.0	1.17	Fixed Tilt	['Fixed']	20.0	180.0	4.4439086758	0.1843378995433789	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	10469	Eastern	distribution-primary	Eastern
Jackson Solar Farm (Wilson)	61292.0	UPV	35.752881	-77.857611	Southeast (non-ISO)	NC	37	North Carolina	2017	11900.0	10000.0	1.19	Fixed Tilt	['Fixed']	20.0	180.0	4.4523303653	0.1939212328767123	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	10905	Eastern	distribution-primary	Eastern
Ridgeland Solar Farm I	60659.0	UPV	32.466681	-80.961461	Southeast (non-ISO)	SC	45	South Carolina	2017	12200.0	10000.0	1.22	Tracking	['Single']	-1.0	180.0	4.679940411	0.2203909037602614	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	11864	Eastern	distribution-primary	Eastern
Double Tollgate Solar Project (Clarke County Solar)	61374.0	UPV	39.066041	-78.137001	PJM	VA	51	Virginia	2017	12600.0	10000.0	1.26	Tracking	['Single']	-1.0	180.0	4.0860401826	0.1958653134382979	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	9393	Eastern	distribution-primary	Eastern
Leon Solar	61532.0	UPV	33.161591	-96.239271	ERCOT	TX	48	Texas	2017	14202.499999999998	10000.0	1.4202499999999998	Tracking	['Single']	-1.0	180.0	4.6292710046	0.2087017283396128	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	40153	Texas	distribution-primary	Texas
Whitewright Solar	61524.0	UPV	33.500701	-96.374321	ERCOT	TX	48	Texas	2017	14276.6	10000.0	1.42766	Tracking	['Single']	-1.0	180.0	4.6390484018	0.233099782917883	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	39887	Texas	distribution-primary	Texas
Tumbleweed Solar (Ventyx: Jeans Solar Park)	61580.0	UPV	44.194641	-121.229501	West (non-ISO)	OR	41	Oregon	2017	14000.0	9900.0	1.414141414141414	Fixed Tilt	['Fixed']	28.0	180.0	4.4736374429	0.2338775844714411	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	35738	Western	distribution-primary	Western
Eagle Point Solar	61560.0	UPV	42.401021	-122.831171	West (non-ISO)	OR	41	Oregon	2017	13061.0	9900.0	1.3192929292929292	Tracking	['Single']	-1.0	180.0	4.5372792237	0.2035452965163272	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	35641	Western	distribution-primary	Western
TPE Whitney Solar, LLC (United Community Solar Plant)	63180.0	UPV	32.067578	-97.533899	ERCOT	TX	48	Texas	2017	14300.0	9900.0	1.4444444444444444	Tracking	['Single']		180.0	4.8053678082	0.2542188200592646	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	40308	Texas	distribution-primary	Texas
Pittsfield Solar LLC	64078.0	UPV	44.814177	-69.448346	ISO-NE	ME	23	Maine	2017	13900.0	9900.0	1.404040404040404	Fixed Tilt	['Fixed']	35.0	170.0	3.6531207763	0.1817238873249802	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	394	Eastern	distribution-primary	Eastern
Aspiration G	59737.0	UPV	36.552091	-120.342611	CAISO	CA	6	California	2017	11700.0	9000.0	1.2999999999999998	Tracking	['Single']	-1.0	180.0	5.3220723744	0.2656747450971694	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	36662	Western	distribution-primary	Western
PSEG West Babylon Solar Center (SL Babylon)	61487.0	UPV	40.732411	-73.375661	NYISO	NY	36	New York	2017	10620.0	9000.0	1.18	Fixed Tilt	['Fixed']	20.0	180.0	4.0162671233	0.167982755880116	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	3262	Eastern	distribution-primary	Eastern
Baker Point (Frederick Road Solar)	61519.0	UPV	39.570541	-77.362461	PJM	MD	24	Maryland	2017	10890.0	9000.0	1.21	Fixed Tilt	['Fixed']	25.0	180.0	4.0304255708	0.1713804629791354	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	8761	Eastern	distribution-primary	Eastern
Pemberton Road I (McGuire-Dix-Lakehurst Base)	61073.0	UPV	39.981764	-74.69737	PJM	NJ	34	New Jersey	2017	9993.696	8800.0	1.1356472727272726	Fixed Tilt	['Fixed']	20.0	180.0	4.0233445205	0.1650643297636897	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	5252	Eastern	distribution-primary	Eastern
Pemberton Road II (McGuire-Dix-Lakehurst Base)	61074.0	UPV	39.979936	-74.70192	PJM	NJ	34	New Jersey	2017	9993.696	8800.0	1.1356472727272726	Fixed Tilt	['Fixed']	20.0	180.0	4.0293312785	0.1651286117972902	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	5252	Eastern	distribution-primary	Eastern
Suwannee Solar Energy Facility	60788.0	UPV	30.375741	-83.170681	Southeast (non-ISO)	FL	12	Florida	2017	14200.0	8800.0	1.6136363636363635	Fixed Tilt	['Fixed']	20.0	180.0	4.7435878995	0.2233521257564037	PV	['c-Si']	False	-1	-1.0	-1.0		True	['Fossil']	False	13799	Eastern	distribution-primary	Eastern
Aurora West Waconia Solar	60534.0	UPV	44.793571	-93.901351	MISO	MN	27	Minnesota	2017	12250.0	8500.0	1.4411764705882353	Tracking	['Single']	-1.0	180.0	3.82743379	0.197231322351532	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	26378	Eastern	distribution-primary	Eastern
Spartan	60755.0	UPV	40.044061	-74.60963	PJM	NJ	34	New Jersey	2017	9998.0	8300.0	1.204578313253012	Fixed Tilt	['Fixed']	25.0	180.0	4.0212518265	0.1888042350804018	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	5280	Eastern	distribution-primary	Eastern
Haley Solar	61523.0	UPV	33.022691	-81.292801	Southeast (non-ISO)	SC	45	South Carolina	2017	11390.0	8160.0	1.3958333333333337	Tracking	['Single']	-1.0	180.0	4.657023516	0.232214076036799	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	11547	Eastern	distribution-primary	Eastern
Odyssey Solar (Phase 1)	61324.0	UPV	33.790411	-81.265571	Southeast (non-ISO)	SC	45	South Carolina	2017	11840.0	8160.0	1.4509803921568627	Tracking	['Single']	-1.0	180.0	4.5642771689	0.2560092502080553	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	11926	Eastern	distribution-primary	Eastern
IMPA Anderson 2 Solar Project	61054.0	UPV	40.138551	-85.688341	PJM	IN	18	Indiana	2017	10200.0	8100.0	1.2592592592592593	Tracking	['Single']	-1.0	180.0	3.96276621	0.1918759063699497	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	21984	Eastern	distribution-primary	Eastern
Woodline Solar	61559.0	UPV	42.238971	-121.584171	West (non-ISO)	OR	41	Oregon	2017	11162.88	8000.0	1.3953600000000002	Tracking	['Single']	-1.0	180.0	4.73185	0.2397884073159167	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	35723	Western	distribution-primary	Western
Nixa Solar Farm	60673.0	UPV	37.043903	-93.33897	SPP	MO	29	Missouri	2017	11088.0	7920.0	1.4	Fixed Tilt	['Fixed']	25.0	180.0	4.3294246575	0.216109439140261	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	29197	Eastern	distribution-primary	Eastern
Aurora Lake Pulaski Solar	60527.0	UPV	45.195581	-93.812261	MISO	MN	27	Minnesota	2017	10920.0	7500.0	1.456	Tracking	['Single']	-1.0	180.0	3.7973246575	0.2025953650334217	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	26872	Eastern	distribution-primary	Eastern
ANAD Solar Array (Army) (Anniston)	60680.0	UPV	33.626331	-85.940361	Southeast (non-ISO)	AL	1	Alabama	2017	9700.0	7400.0	1.3108108108108107	Fixed Tilt	['Fixed']	20.0	180.0	4.4620497717	0.1946328346086935	PV	['Thin-Film']	False	-1	-1.0	-1.0		False	[]	False	14792	Eastern	distribution-primary	Eastern
MMPA Tatanka Wi Solar (Buffalo Solar Project)	61680.0	UPV	45.21071	-93.88257	MISO	MN	27	Minnesota	2017	8690.0	7110.0	1.222222222222222	Tracking	['Single']	-1.0	180.0	3.8018744292	0.1844696731880674	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	26874	Eastern	distribution-primary	Eastern
AEP Jacksonville Solar Project (Northwest Jacksonville Solar Partners, Nwjax)	61388.0	UPV	30.518781	-81.681741	Southeast (non-ISO)	FL	12	Florida	2017	7500.0	7100.0	1.0563380281690142	Tracking	['Single']	-1.0	180.0	4.7381013699	0.207897596422661	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	13468	Eastern	distribution-primary	Eastern
SCDA Solar 1 (Sacramento Airport PV) has North and East site	61006.0	UPV	38.690186	-121.5865	CAISO	CA	6	California	2017	7908.999999999999	6800.000000000001	1.1630882352941174	Tracking	['Single']	-1.0	180.0	5.0432678082	0.2453807670234797	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	35906	Western	distribution-primary	Western
Hampton Solar I	61325.0	UPV	32.879	-81.133	Southeast (non-ISO)	SC	45	South Carolina	2017	9910.0	6800.0	1.4573529411764707	Tracking	['Single']	-1.0	180.0	4.6632315068	0.2238665140682617	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	11832	Eastern	distribution-primary	Eastern
Aurora Dodge Center Solar	60523.0	UPV	44.026231	-92.881181	MISO	MN	27	Minnesota	2017	9900.0	6500.0	1.5230769230769232	Tracking	['Single']	-1.0	180.0	3.8078527397	0.2083102047788776	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	26948	Eastern	distribution-primary	Eastern
Aurora Chisago Solar	60522.0	UPV	45.452581	-92.90158	MISO	MN	27	Minnesota	2017	9600.0	6500.0	1.4769230769230768	Tracking	['Single']	-1.0	180.0	3.7746748858	0.1878069971714705	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	25912	Eastern	distribution-primary	Eastern
Worcester Landfill	60621.0	UPV	42.219401	-71.790251	ISO-NE	MA	25	Massachusetts	2017	8100.0	6500.0	1.2461538461538462	Fixed Tilt	['Fixed']	25.0	180.0	3.8330018265	0.1291396113763057	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	1911	Eastern	distribution-primary	Eastern
Aurora Annandale Solar	60520.0	UPV	45.248861	-94.110791	MISO	MN	27	Minnesota	2017	9120.0	6000.0	1.5199999999999998	Tracking	['Single']	-1.0	180.0	3.7939333333	0.2144896941443277	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	26870	Eastern	distribution-primary	Eastern
Monroe County Sites C, D, & E	61510.0	UPV	43.317111	-77.743641	NYISO	NY	36	New York	2017	8400.0	6000.0	1.4	Fixed Tilt	['Fixed']	20.0	180.0	3.7028015982	0.1697443705588962	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	4368	Eastern	distribution-primary	Eastern
East Acres Solar NG	61755.0	UPV	42.48822	-73.24198	ISO-NE	MA	25	Massachusetts	2017	6800.0	5800.0	1.1724137931034482	Fixed Tilt	['Fixed']	25.0	180.0	3.6880440639	0.0918274526995303	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	1303	Eastern	distribution-primary	Eastern
Kearney NPPD Solar Project	61884.0	UPV	40.721688	-99.0412	SPP	NE	31	Nebraska	2017	7246.720000000001	5760.0	1.2581111111111112	Tracking	['Single']	-1.0	180.0	4.4135751142	0.2179981234329933	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	33366	Eastern	distribution-primary	Eastern
Aurora Eastwood Solar	60524.0	UPV	44.154821	-93.916581	MISO	MN	27	Minnesota	2017	8230.0	5500.0	1.4963636363636363	Tracking	['Single']	-1.0	180.0	3.8117817352	0.2078447473462069	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	26337	Eastern	distribution-primary	Eastern
Aurora West Faribault Solar	60533.0	UPV	44.274371	-93.310441	MISO	MN	27	Minnesota	2017	7890.0	5500.0	1.4345454545454546	Tracking	['Single']	-1.0	180.0	3.8193518265	0.1986284546187981	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	26785	Eastern	distribution-primary	Eastern
Barnwell Solar	61327.0	UPV	33.237471	-81.350721	Southeast (non-ISO)	SC	45	South Carolina	2017	7648.64	5440.0	1.406	Tracking	['Single']	-1.0	180.0	4.636833105	0.2485253226693026	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	11546	Eastern	distribution-primary	Eastern
Highway 56 Solar (not the West Moore Sherman project coming in 2018)	61409.0	UPV	33.614021	-96.689911	ERCOT	TX	48	Texas	2017	7200.0	5300.0	1.358490566037736	Tracking	['Single']	-1.0	181.0	4.6742538813	0.1958944048430042	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	39827	Texas	distribution-primary	Texas
Clipperton Holdings	59213.0	UPV	34.966944	-78.35444	Southeast (non-ISO)	NC	37	North Carolina	2017	7000.0	5280.0	1.3257575757575757	Tracking	['Single']	-1.0	175.0	4.4764703196		PV	['Thin-Film']	False	-1	-1.0	-1.0		False	[]	False	11020	Eastern	distribution-primary	Eastern
Marlin Solar	61513.0	UPV	31.286739	-96.87721	ERCOT	TX	48	Texas	2017	7220.0	5280.0	1.3674242424242422	Tracking	['Single']	-1.0	180.0	4.7071079909	0.2121174000150719	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	40205	Texas	distribution-primary	Texas
Bakersfield PV 1	61117.0	UPV	35.324982	-118.9815	CAISO	CA	6	California	2017	7033.325000000001	5250.0	1.3396809523809523	Tracking	['Single']	-1.0	180.0	5.3913356164	0.2205264191827557	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	36778	Western	distribution-primary	Western
North Gainesville Solar	61514.0	UPV	33.656072	-97.14857	ERCOT	TX	48	Texas	2017	6820.0	5170.0	1.319148936170213	Tracking	['Single']	-1.0	180.0	4.7425086758	0.1913090149624448	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	39865	Texas	distribution-primary	Texas
Cyril	61614.0	UPV	34.8981	-98.22787	SPP	OK	40	Oklahoma	2017	6400.0	5001.0	1.279744051189762	Tracking	['Single']	-1.0	180.0	4.8015678082		PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	31539	Eastern	distribution-primary	Eastern
IMPA Anderson 1 Solar Project	60253.0	UPV	40.052521	-85.733101	PJM	IN	18	Indiana	2017	6200.0	5001.0	1.239752049590082	Fixed Tilt	['Fixed']	25.0	180.0	3.9625824201		PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	22401	Eastern	distribution-primary	Eastern
Whitesboro Solar	61410.0	UPV	33.616526	-96.86872	ERCOT	TX	48	Texas	2017	7139.700000000001	5001.0	1.4276544691061788	Tracking	['Single']	-1.0	180.0	4.69266621		PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	39871	Texas	distribution-primary	Texas
Whitesboro Solar II	61411.0	UPV	33.624853	-96.86747	ERCOT	TX	48	Texas	2017	7139.700000000001	5001.0	1.4276544691061788	Tracking	['Single']	-1.0	180.0	4.69266621		PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	39827	Texas	distribution-primary	Texas
Mt. Tom Solar Project Hybrid	60906.0	UPV	42.269261	-72.603011	ISO-NE	MA	25	Massachusetts	2017	5764.700000000001	5001.0	1.1527094581083783	Fixed Tilt	['Fixed']	25.0	180.0	3.7949303653		PV	['c-Si']	True	2019	3.0	6.0	Lithium Ion	False	[]	False	1535	Eastern	distribution-primary	Eastern
Sweetwater Solar (Green River Project)	61369.0	UPV	41.626831	-109.682441	West (non-ISO)	WY	56	Wyoming	2018	97935.0	80000.0	1.2241875	Tracking	['Single']	-1.0	180.0	4.7043716895	0.2461830663472814	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	39399	Western	distribution-primary	Western
Millington Solar Farm (NSA Mid-South Solar)	60560.0	UPV	35.351533	-89.854731	Southeast (non-ISO)	TN	47	Tennessee	2018	68000.0	53000.0	1.2830188679245282	Tracking	['Single']	-1.0	178.0	4.4360493151	0.2259903291117428	PV	['Thin-Film']	False	-1	-1.0	-1.0		False	[]	False	16786	Eastern	distribution-primary	Eastern
Bluebell Solar I (Capricorn Ridge Solar)	60789.0	UPV	31.86965	-100.82754	ERCOT	TX	48	Texas	2018	45400.0	30000.0	1.5133333333333332	Tracking	['Single']	-1.0	180.0	5.2773100457	0.2922573369180993	PV	['c-Si']	False	-1	-1.0	-1.0		True	['Wind']	False	39981	Texas	distribution-primary	Texas
Fusion Solar Center	58876.0	UPV	41.643271	-72.04876	ISO-NE	CT	9	Connecticut	2018	31800.0	20000.0	1.59	Fixed Tilt	['Fixed']	25.0	180.0	3.8702319635	0.2254062726127205	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	2524	Eastern	distribution-primary	Eastern
Montross Solar Facility	64093.0	UPV	38.074387	-76.787539	PJM	VA	51	Virginia	2018	28000.0	20000.0	1.4	Tracking	['Single']	-1.0	180.0	4.2369374429	0.224106329690346	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	10252	Eastern	distribution-primary	Eastern
Adams Nielson Solar	61933.0	UPV	46.955281	-118.62121	West (non-ISO)	WA	53	Washington	2018	28000.0	19200.0	1.4583333333333337	Tracking	['Single']	-1.0	180.0	4.2167111872	0.2633864868721461	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	35379	Western	distribution-secondary	Western
UVA Hollyfield Solar Project	61023.0	UPV	37.669961	-77.16999	PJM	VA	51	Virginia	2018	21100.0	17000.0	1.241176470588235	Tracking	['Single']	-1.0	181.0	4.2781465753	0.2176279412131646	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	9978	Eastern	distribution-primary	Eastern
Delta Solar Power II (DSP-II A+B, Delta Solar Power Project)	61955.0	UPV	42.707011	-84.69899	MISO	MI	26	Michigan	2018	19400.0	15900.0	1.220125786163522	Tracking	['Single']	-1.0	180.0	3.7873417808	0.1881482705540262	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	21072	Eastern	distribution-primary	Eastern
UVA Puller Solar Facility	62140.0	UPV	37.569661	-76.47317	PJM	VA	51	Virginia	2018	19700.0	15000.0	1.3133333333333332	Tracking	['Single']	-1.0	181.0	4.3045294521	0.2189941861915812	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	10077	Eastern	distribution-primary	Eastern
Latitude Solar Center	61412.0	UPV	35.306387	-89.167541	Southeast (non-ISO)	TN	47	Tennessee	2018	19995.0	15000.0	1.333	Tracking	['Single']	-1.0	178.0	4.3936317352	0.234240618060234	PV	['Thin-Film']	False	-1	-1.0	-1.0		False	[]	False	16368	Eastern	distribution-primary	Eastern
Annapolis Solar Park (Landfill)	60681.0	UPV	38.992144	-76.57377	PJM	MD	24	Maryland	2018	18000.0	12000.0	1.5	Fixed Tilt	['Fixed']	12.0	180.0	4.1513947489	0.2124787388443912	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	8410	Eastern	distribution-primary	Eastern
Gaston Solar I	61530.0	UPV	33.774657	-81.11055	Southeast (non-ISO)	SC	45	South Carolina	2018	14795.0	10200.0	1.4504901960784315	Tracking	['Single']	-1.0	180.0	4.5892011416	0.2323524152281368	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	11634	Eastern	distribution-primary	Eastern
Covington Solar Farm	61759.0	UPV	36.315661	-97.58183	SPP	OK	40	Oklahoma	2018	13200.0	10000.0	1.3199999999999998	Tracking	['Single']	-1.0	180.0	4.6752913242	0.2425822011378097	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	31764	Eastern	distribution-primary	Eastern
Facebook 2 Solar Energy Center (Los Lunas 2)	61557.0	UPV	35.07914	-106.86517	West (non-ISO)	NM	35	New Mexico	2018	12497.55	10000.0	1.249755	Tracking	['Single']	-1.0	180.0	5.6324237443	0.2854237779773935	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	38842	Western	distribution-primary	Western
Facebook 3 Solar Energy Center (Los Lunas 3)	61558.0	UPV	35.07542	-106.86481	West (non-ISO)	NM	35	New Mexico	2018	12497.55	10000.0	1.249755	Tracking	['Single']	-1.0	180.0	5.6324237443	0.2906507940963645	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	38842	Western	distribution-primary	Western
OR Solar 8 (Dairy Solar Facility)	61424.0	UPV	42.238888	-121.58581	West (non-ISO)	OR	41	Oregon	2018	14000.0	10000.0	1.4	Tracking	['Single']	-1.0	180.0	4.73185	0.2935997267759562	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	35723	Western	distribution-primary	Western
Wy'East Solar	61345.0	UPV	45.587121	-120.59587	West (non-ISO)	OR	41	Oregon	2018	12500.0	10000.0	1.25	Tracking	['Single']	-1.0	180.0	4.3809883562	0.2313614417246799	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	35774	Western	distribution-primary	Western
